path,true_label,predicted_label,true_class,predicted_class,confidence,correct,prob_AnnualCrop,prob_Forest,prob_HerbaceousVegetation,prob_Highway,prob_Industrial,prob_Pasture,prob_PermanentCrop,prob_Residential,prob_River,prob_SeaLake
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1495.tif,6,4,PermanentCrop,Industrial,0.9990547299385072,0,0.0004473604203667,4.794789276729716e-08,4.689322850026656e-06,2.425050843157805e-05,0.9990547299385072,7.232849384308793e-06,0.0003348749014548,2.608392605907284e-05,9.968836820917204e-05,9.40990389608487e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_127.tif,0,9,AnnualCrop,SeaLake,0.9967820644378662,0,0.003179405350238,2.290470774823916e-06,1.888943870653748e-06,3.4667798445298104e-06,2.86833301288425e-06,3.4396962291793898e-06,3.101268475802499e-06,8.86803888988652e-07,2.0650619262596592e-05,0.9967820644378662
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_637.tif,2,6,HerbaceousVegetation,PermanentCrop,0.9944086670875548,0,6.0395428590709344e-05,2.770196942947223e-06,0.0025776703841984,9.258781938115136e-05,0.0020818347111344,0.0006530241225846,0.9944086670875548,0.0001102966998587,1.2033760867780074e-05,7.880069006205304e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_2360.tif,6,0,PermanentCrop,AnnualCrop,0.9925986528396606,0,0.9925986528396606,1.8615330077409453e-07,3.4689313906710595e-05,2.7071462682215497e-05,0.0002883788838516,5.775321915280074e-05,0.0069141038693487,5.250004505796824e-06,6.415368989109993e-05,9.81966240942711e-06
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_2411.tif,6,2,PermanentCrop,HerbaceousVegetation,0.991439700126648,0,3.6650342281063786e-06,1.5659132941436835e-06,0.991439700126648,3.70057750842534e-06,3.876382379530696e-06,7.292218384691297e-08,0.0085358368232846,1.45583396715665e-06,7.559587089644992e-08,1.0051637218566611e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\AnnualCrop\AnnualCrop_2025.tif,0,6,AnnualCrop,PermanentCrop,0.990816593170166,0,0.0090409517288208,2.2490597828550566e-08,1.8964087757922243e-06,5.070684892416466e-06,3.1686551665188745e-05,0.0001010870328173,0.990816593170166,4.803989668289432e-07,2.2050944608054124e-06,4.021705990453484e-08
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_827.tif,6,0,PermanentCrop,AnnualCrop,0.9899144172668456,0,0.9899144172668456,3.4179947761003866e-08,3.0062121822993504e-06,5.383399911806919e-05,0.0008948953473009,0.0062335454858839,0.0026314102578908,3.3373303267580923e-06,0.0002651311515364,4.950810534865013e-07
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\HerbaceousVegetation\HerbaceousVegetation_2664.tif,2,3,HerbaceousVegetation,Highway,0.9875143766403198,0,5.856874122400768e-05,8.469132808386348e-06,0.0098055573180317,0.9875143766403198,0.0001646735618123,1.6130137737491168e-05,0.0019481050549075,0.0003799287078436,9.365195728605612e-05,1.0426246262795758e-05
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\PermanentCrop\PermanentCrop_1891.tif,6,2,PermanentCrop,HerbaceousVegetation,0.9845135807991028,0,7.189211464719847e-05,2.984496677527204e-05,0.9845135807991028,1.1254626770096364e-05,9.980683898902498e-06,2.598157607280882e-06,0.0151843903586268,1.9725282982108183e-05,9.43027771427296e-07,0.0001557893701829
C:\Users\DELL Precision 5550\Documents\GitHub\Terrasight-Eurosat-RGB-vs-Multispectral\data\raw\multispectral\Pasture\Pasture_474.tif,5,0,Pasture,AnnualCrop,0.9844895601272584,0,0.9844895601272584,1.8798305973177776e-05,0.000377322314307,0.0001991422032006,3.196059697074816e-05,0.0122356126084923,0.0023417396005243,1.6257645256700926e-05,4.329240618972108e-05,0.0002463716373313
